date,open,high,low,close,volume,dividend,split
2018/2/15,1100,1120,1085,1109,6246300,0,1
2018/2/16,1121,1179,1120,1176,9388200,0,1
2018/2/19,1167,1190,1155,1189,5025400,0,1
2018/2/20,1176,1193,1175,1181,3217800,0,1
2018/2/21,1184,1222,1176,1198,6089200,0,1
2018/2/22,1136,1154,1122,1151,10484500,0,1
2018/2/23,1149,1153,1133,1144,4844300,0,1
2018/2/26,1160,1181,1159,1161,4629600,0,1
2018/2/27,1169,1185,1163,1171,4824300,0,1
2018/2/28,1171,1183,1155,1156,4438100,0,1
2018/3/1,1149,1153,1137,1143,3397800,0,1
2018/3/2,1125,1136,1105,1123,4111300,0,1
2018/3/5,1105,1109,1094,1106,3629800,0,1
2018/3/6,1133,1137,1110,1113,2742400,0,1
2018/3/7,1107,1113,1101,1107,3460400,0,1
2018/3/8,1128,1131,1114,1118,3492800,0,1
2018/3/9,1119,1136,1116,1125,4373400,0,1
2018/3/12,1150,1159,1137,1143,3078600,0,1
2018/3/13,1140,1158,1139,1157,2845800,0,1
2018/3/14,1145,1147,1131,1139,3521000,0,1
2018/3/15,1138,1162,1133,1155,3201100,0,1
2018/3/16,1155,1155,1115,1125,4435700,0,1
2018/3/19,1118,1120,1098,1106,2464400,0,1
2018/3/20,1095,1132,1094,1129,2901300,0,1
2018/3/22,1129,1140,1120,1126,3699300,0,1
2018/3/23,1099,1110,1076,1085,4650800,0,1
2018/3/26,1025,1049,1020,1043,6717900,0,1
2018/3/27,1046,1057,1035,1047,4805300,0,1
2018/3/28,1026,1030,1014,1028,4131200,0,1
2018/3/29,1036,1051,1019,1037,4159400,0,1
2018/3/30,1051,1052,1037,1051,2386600,0,1
2018/4/2,1053,1061,1049,1049,2199700,0,1
2018/4/3,1047,1063,1044,1061,3120000,0,1
2018/4/4,1064,1064,1045,1048,2485400,0,1
2018/4/5,1058,1066,1048,1062,2301400,0,1
2018/4/6,1053,1070,1051,1063,2807400,0,1
2018/4/9,1060,1098,1058,1093,3580500,0,1
2018/4/10,1093,1110,1086,1105,3334600,0,1
2018/4/11,1110,1112,1086,1086,2462600,0,1
2018/4/12,1085,1091,1079,1087,1360000,0,1
2018/4/13,1093,1120,1092,1107,2477200,0,1
2018/4/16,1104,1109,1095,1103,1726800,0,1
2018/4/17,1096,1102,1088,1093,1817800,0,1
2018/4/18,1096,1103,1090,1100,2269400,0,1
2018/4/19,1098,1107,1089,1095,2782000,0,1
2018/4/20,1095,1109,1093,1105,2650200,0,1
2018/4/23,1104,1108,1098,1099,2056500,0,1
2018/4/24,1114,1116,1103,1111,1726700,0,1
2018/4/25,1104,1104,1093,1095,1901700,0,1
2018/4/26,1098,1099,1091,1093,1808400,0,1
2018/4/27,1097,1098,1068,1071,4547900,0,1
2018/5/1,1122,1122,1042,1049,6266900,0,1
2018/5/2,1056,1075,1033,1066,3907200,0,1
2018/5/7,1060,1060,1026,1041,4023700,0,1
2018/5/8,1044,1055,1041,1044,2714400,0,1
2018/5/9,1032,1043,1026,1035,2437900,0,1
2018/5/10,1039,1046,1034,1042,2072100,0,1
2018/5/11,1049,1057,1042,1048,1894300,0,1
2018/5/14,1038,1044,1028,1042,2062800,0,1
2018/5/15,1045,1062,1044,1054,2700500,0,1
2018/5/16,1049,1063,1047,1060,2590100,0,1
2018/5/17,1058,1067,1049,1062,2091000,0,1
2018/5/18,1065,1069,1053,1060,2368600,0,1
2018/5/21,1055,1058,1047,1054,1512400,0,1
2018/5/22,1049,1051,1029,1037,2484700,0,1
2018/5/23,1034,1038,1018,1022,2667200,0,1
2018/5/24,1009,1012,992,1000,3405900,0,1
2018/5/25,1003,1010,990,995,3087400,0,1
2018/5/28,995,1011,993,1005,2289200,0,1
2018/5/29,995,998,961,964,4163400,0,1
2018/5/30,945,975,938,968,5490500,0,1
2018/5/31,974,987,958,986,6247400,0,1
2018/6/1,982,999,971,991,4654000,0,1
2018/6/4,1007,1023,995,1020,4923400,0,1
2018/6/5,1024,1027,997,1000,3340800,0,1
2018/6/6,1000,1008,993,1003,2354900,0,1
2018/6/7,1004,1014,1002,1006,2893700,0,1
2018/6/8,1003,1011,997,1005,4815200,0,1
2018/6/11,1004,1010,989,1007,3448300,0,1
2018/6/12,1016,1020,1007,1007,2238600,0,1
2018/6/13,1010,1010,998,999,1953700,0,1
2018/6/14,998,1019,994,1003,3548300,0,1
2018/6/15,1004,1017,995,1014,6322400,0,1
2018/6/18,1005,1005,980,995,5177000,0,1
2018/6/19,992,1021,990,1010,5435600,0,1
2018/6/20,1022,1022,1002,1016,4679800,0,1
2018/6/21,1008,1014,987,1011,3071400,0,1
2018/6/22,1000,1020,998,1005,4889200,0,1
2018/6/25,1000,1027,998,1017,2688700,0,1
2018/6/26,1012,1018,1004,1016,2875000,0,1
2018/6/27,1009,1010,993,1008,2672500,0,1
2018/6/28,1006,1015,1002,1007,2605200,0,1
2018/6/29,1010,1025,1007,1016,3692300,0,1
2018/7/2,1023,1034,998,999,2964500,0,1
2018/7/3,1024,1032,1010,1019,4845400,0,1
2018/7/4,1016,1017,1001,1011,3011100,0,1
2018/7/5,1005,1006,977,980,3395100,0,1
2018/7/6,991,1013,990,1008,3489400,0,1
2018/7/9,1014,1029,1011,1027,2087900,0,1
2018/7/10,1037,1045,1004,1004,3744600,0,1
2018/7/11,996,1002,989,996,2963600,0,1
2018/7/12,1004,1008,992,995,2114300,0,1
2018/7/13,998,1013,989,1010,3072500,0,1
2018/7/17,1013,1039,1008,1031,3228900,0,1
2018/7/18,1039,1040,1002,1022,4113000,0,1
2018/7/19,1026,1030,1022,1026,2369100,0,1
2018/7/20,1028,1045,1025,1037,2540500,0,1
2018/7/23,1027,1044,1027,1035,1623300,0,1
2018/7/24,1038,1052,1037,1045,2479800,0,1
2018/7/25,1050,1051,1037,1043,1707000,0,1
2018/7/26,1047,1052,1040,1044,2457800,0,1
2018/7/27,1048,1048,1035,1036,3484100,0,1
2018/7/30,1126,1145,1117,1127,8620400,0,1
2018/7/31,1110,1118,1081,1088,6851600,0,1
2018/8/1,1092,1112,1086,1101,3553200,0,1
2018/8/2,1088,1111,1088,1104,2752400,0,1
2018/8/3,1117,1135,1116,1119,2975900,0,1
2018/8/6,1118,1137,1108,1129,2810700,0,1
2018/8/7,1132,1154,1132,1153,2599500,0,1
2018/8/8,1155,1155,1122,1131,3270700,0,1
2018/8/9,1133,1156,1132,1153,2845900,0,1
2018/8/10,1153,1161,1136,1140,2846300,0,1
2018/8/13,1136,1143,1111,1116,2812200,0,1
2018/8/14,1123,1156,1123,1156,2731900,0,1
2018/8/15,1153,1164,1133,1143,2131600,0,1
2018/8/16,1125,1130,1103,1123,3636900,0,1
2018/8/17,1119,1127,1110,1118,2816500,0,1
2018/8/20,1117,1120,1106,1111,2413100,0,1
2018/8/21,1111,1118,1108,1112,2464700,0,1
2018/8/22,1117,1138,1116,1135,2613400,0,1
2018/8/23,1143,1158,1136,1154,3658400,0,1
2018/8/24,1162,1163,1141,1145,2927900,0,1
2018/8/27,1140,1150,1133,1147,2565300,0,1
2018/8/28,1160,1164,1152,1155,2538400,0,1
2018/8/29,1164,1199,1163,1176,5557700,0,1
2018/8/30,1177,1179,1151,1159,10810300,0,1
2018/8/31,1152,1171,1150,1165,4208800,0,1
2018/9/3,1171,1173,1155,1165,2698300,0,1
2018/9/4,1169,1173,1152,1162,2707700,0,1
2018/9/5,1162,1162,1140,1142,2283200,0,1
2018/9/6,1141,1143,1125,1135,4015800,0,1
2018/9/7,1126,1140,1123,1138,2583600,0,1
2018/9/10,1137,1144,1130,1134,2223700,0,1
2018/9/11,1136,1166,1129,1163,3385800,0,1
2018/9/12,1161,1164,1148,1156,2482800,0,1
2018/9/13,1162,1189,1162,1176,3467500,0,1
2018/9/14,1180,1183,1168,1180,4223700,0,1
2018/9/18,1181,1198,1176,1197,2964500,0,1
2018/9/19,1206,1210,1188,1191,2686000,0,1
2018/9/20,1192,1193,1172,1183,3436500,0,1
2018/9/21,1190,1232,1172,1225,7154100,0,1
2018/9/25,1227,1235,1210,1215,3677200,0,1
2018/9/26,1209,1227,1200,1227,2818000,0,1
2018/9/27,1226,1257,1223,1224,4153400,0,1
2018/9/28,1230,1233,1206,1220,3609500,0,1
2018/10/1,1230,1255,1226,1249,2695900,0,1
2018/10/2,1258,1263,1247,1253,3809300,0,1
